@timestamp,user_id,audio_bytesReceived,audio_packetsReceived,audio_packetsLost,audio_jitter,video_bytesReceived,video_packetsReceived,video_packetsLost,video_jitter,video_framesDecoded,video_nackCount,video_firCount,video_pliCount
2023-05-15 12:45:07.407000+00:00,User2,640612,8249,0,0.009,34131655,31262,0,0.015211111111111111,4111,0,0,0
2023-05-15 12:45:07.505000+00:00,User2,641037,8254,0,0.009,34149292,31278,0,0.015144444444444445,4114,0,0,0
2023-05-15 12:45:08.009000+00:00,User1,648863,8380,8,0.011,34569331,31594,27,0.017511111111111113,4022,3,0,0
2023-05-15 12:45:08.213000+00:00,User3,633319,8155,1,0.009,34074241,30751,0,0.02808888888888889,3235,3,0,0
2023-05-15 12:45:08.465000+00:00,User3,634258,8167,1,0.009,34147080,30816,0,0.024777777777777777,3242,3,0,0
2023-05-15 12:45:08.619000+00:00,User1,651846,8419,0,0.01,34727848,31738,0,0.016455555555555557,4035,0,0,0
2023-05-15 12:45:10.409000+00:00,User2,651949,8399,0,0.012,34764389,31848,0,0.016677777777777777,4201,0,0,0
2023-05-15 12:45:10.504000+00:00,User2,652339,8404,0,0.011,34787811,31869,0,0.016944444444444446,4204,0,0,0
2023-05-15 12:45:11.011000+00:00,User1,659679,8529,8,0.008,35310704,32271,27,0.015755555555555554,4112,3,0,0
2023-05-15 12:45:11.213000+00:00,User3,644569,8305,1,0.01,34894766,31497,0,0.016044444444444445,3325,3,0,0
2023-05-15 12:45:11.466000+00:00,User3,645493,8317,1,0.009,34939751,31539,0,0.01601111111111111,3332,3,0,0
2023-05-15 12:45:11.618000+00:00,User1,662770,8568,0,0.008,35474316,32421,0,0.017177777777777778,4125,0,0,0
2023-05-15 12:45:13.407000+00:00,User2,663821,8549,0,0.013,35510215,32534,0,0.017233333333333333,4291,0,0,0
2023-05-15 12:45:13.504000+00:00,User2,664184,8554,0,0.014,35538287,32560,0,0.01682222222222222,4294,0,0,0
2023-05-15 12:45:14.010000+00:00,User1,671256,8680,8,0.009,36062438,32959,27,0.017522222222222224,4202,3,0,0
2023-05-15 12:45:14.213000+00:00,User3,656159,8455,1,0.009,35477231,32038,0,0.015033333333333333,3414,3,0,0
2023-05-15 12:45:14.465000+00:00,User3,657027,8467,1,0.008,35539294,32095,0,0.014966666666666666,3422,3,0,0
2023-05-15 12:45:14.619000+00:00,User1,674173,8718,0,0.009,36227018,33108,0,0.01672222222222222,4216,0,0,0
2023-05-15 12:45:16.408000+00:00,User2,675572,8699,0,0.009,36258564,33220,0,0.016266666666666665,4381,0,0,0
2023-05-15 12:45:16.506000+00:00,User2,675935,8704,0,0.009,36269287,33230,0,0.015255555555555555,4384,0,0,0
2023-05-15 12:45:17.014000+00:00,User1,683045,8830,8,0.011,36723356,33565,27,0.010055555555555555,4292,3,0,0
2023-05-15 12:45:17.213000+00:00,User3,667852,8605,1,0.008,36088327,32604,0,0.00788888888888889,3505,3,0,0
2023-05-15 12:45:17.465000+00:00,User3,668962,8618,1,0.009,36115097,32630,0,0.007877777777777777,3512,3,0,0
2023-05-15 12:45:17.619000+00:00,User1,686291,8868,0,0.014,36801606,33643,0,0.008588888888888889,4306,0,0,0
2023-05-15 12:45:19.409000+00:00,User2,687502,8850,0,0.009,36698508,33646,0,0.01632222222222222,4470,0,0,0
2023-05-15 12:45:19.504000+00:00,User2,687808,8854,0,0.009,36722179,33667,0,0.017044444444444445,4473,0,0,0
2023-05-15 12:45:20.011000+00:00,User1,694982,8980,8,0.009,37262357,34076,27,0.0166,4381,3,0,0
2023-05-15 12:45:20.213000+00:00,User3,679817,8755,1,0.008,36671224,33149,0,0.0186,3593,3,0,0
2023-05-15 12:45:20.467000+00:00,User3,680834,8768,1,0.009,36733103,33205,0,0.018033333333333332,3600,3,0,0
2023-05-15 12:45:20.619000+00:00,User1,698063,9019,0,0.011,37442813,34240,0,0.018833333333333334,4395,0,0,0
2023-05-15 12:45:22.408000+00:00,User2,699196,8999,0,0.01,37483519,34365,0,0.01741111111111111,4560,0,0,0
2023-05-15 12:45:22.505000+00:00,User2,699577,9004,0,0.01,37509983,34389,0,0.017444444444444443,4564,0,0,0
2023-05-15 12:45:23.011000+00:00,User1,706748,9130,8,0.011,38047369,34793,27,0.01698888888888889,4471,3,0,0
2023-05-15 12:45:23.213000+00:00,User3,691489,8906,1,0.009,37423409,33837,0,0.015588888888888888,3683,3,0,0
2023-05-15 12:45:23.466000+00:00,User3,692333,8918,1,0.008,37478968,33889,0,0.015833333333333335,3691,3,0,0
2023-05-15 12:45:23.619000+00:00,User1,709647,9168,0,0.011,38203792,34935,0,0.015366666666666667,4485,0,0,0
2023-05-15 12:45:25.409000+00:00,User2,711045,9150,0,0.009,38221549,35033,0,0.017933333333333332,4651,0,0,0
2023-05-15 12:45:25.504000+00:00,User2,711354,9154,0,0.009,38247621,35057,0,0.017988888888888888,4654,0,0,0
2023-05-15 12:45:26.011000+00:00,User1,718311,9279,8,0.008,38784614,35470,27,0.017566666666666668,4562,3,0,0
2023-05-15 12:45:26.213000+00:00,User3,702903,9055,1,0.009,38157627,34512,0,0.016644444444444444,3773,3,0,0
2023-05-15 12:45:26.465000+00:00,User3,703828,9067,1,0.009,38224219,34573,0,0.017233333333333333,3781,3,0,0
2023-05-15 12:45:26.618000+00:00,User1,721260,9318,0,0.01,38951646,35621,0,0.015588888888888888,4575,0,0,0
2023-05-15 12:45:28.410000+00:00,User2,722444,9299,0,0.01,38978269,35726,0,0.01852222222222222,4741,0,0,0
2023-05-15 12:45:28.505000+00:00,User2,722852,9304,0,0.009,39001255,35747,0,0.017666666666666667,4743,0,0,0
2023-05-15 12:45:29.010000+00:00,User1,729764,9430,8,0.011,39541696,36162,27,0.017955555555555554,4652,3,0,0
2023-05-15 12:45:29.213000+00:00,User3,714220,9205,1,0.008,38910920,35202,0,0.017722222222222223,3863,3,0,0
2023-05-15 12:45:29.467000+00:00,User3,715139,9217,1,0.008,38974045,35260,0,0.017244444444444444,3871,3,0,0
