@timestamp,user_id,audio_bytesSent,audio_packetsSent,audio_nackCount,video_bytesSent,video_packetsSent,video_framesEncoded,video_nackCount,video_firCount,video_pliCount,video_qpSum
2023-05-16 04:00:45.120000+00:00,User1,65101,837,0,1994697,1801,184,0,0,0,885
2023-05-16 04:00:45.340000+00:00,User7,45844,584,0,634399,585,80,0,0,0,1319
2023-05-16 04:00:47.138000+00:00,User4,83223,1076,0,2423189,2194,239,0,0,0,1226
2023-05-16 04:00:47.431000+00:00,User2,76402,983,0,2693500,2438,259,0,0,0,1445
2023-05-16 04:00:47.517000+00:00,User10,85792,1107,0,2734673,2484,260,0,0,0,1328
2023-05-16 04:00:47.558000+00:00,User9,96132,1221,0,3242897,2936,319,0,0,0,1647
2023-05-16 04:00:47.633000+00:00,User3,95217,1223,0,3054459,2766,284,0,0,0,1451
2023-05-16 04:00:47.770000+00:00,User5,96669,1241,0,3283420,2981,321,0,0,0,1688
2023-05-16 04:00:47.806000+00:00,User6,95166,1221,0,3222511,2913,316,0,0,0,1726
2023-05-16 04:00:48.038000+00:00,User8,95415,1222,0,1842558,1741,322,0,0,0,3346
2023-05-16 04:00:48.129000+00:00,User1,74604,959,0,2209570,1993,202,0,0,0,921
2023-05-16 04:00:48.310000+00:00,User7,54889,705,0,701813,644,84,0,0,0,1327
2023-05-16 04:00:50.140000+00:00,User4,94328,1220,0,2609364,2360,256,0,0,0,1260
2023-05-16 04:00:50.433000+00:00,User2,88066,1132,0,3046244,2756,291,0,0,0,1509
2023-05-16 04:00:50.517000+00:00,User10,98989,1274,0,3096429,2813,299,0,0,0,1406
2023-05-16 04:00:50.559000+00:00,User9,108982,1383,0,3564166,3221,347,0,0,0,1703
2023-05-16 04:00:50.621000+00:00,User3,108098,1385,0,3416781,3089,317,0,0,0,1517
2023-05-16 04:00:50.771000+00:00,User5,108285,1387,0,3611275,3276,360,0,0,0,1766
2023-05-16 04:00:50.805000+00:00,User6,108744,1391,0,3531257,3193,349,0,0,0,1792
2023-05-16 04:00:51.041000+00:00,User8,107996,1380,0,2140608,2021,357,0,0,0,3723
2023-05-16 04:00:51.121000+00:00,User1,88093,1130,0,2431220,2202,234,0,0,0,1089
2023-05-16 04:00:54.307000+00:00,User7,72109,924,0,811893,741,89,0,0,0,1398
2023-05-16 04:00:56.138000+00:00,User4,118568,1527,0,3086836,2794,304,0,0,0,1561
2023-05-16 04:00:56.435000+00:00,User2,110422,1417,0,3735736,3360,333,0,0,0,1726
2023-05-16 04:00:56.527000+00:00,User10,122271,1572,0,3820108,3454,352,0,0,0,1687
